entity,soc
hibernate-core/src/main/java/org/hibernate/internal/FilterHelper.java,38
hibernate-core/src/main/java/org/hibernate/id/IdentityGenerator.java,38
hibernate-core/src/main/java/org/hibernate/engine/jdbc/SerializableClobProxy.java,38
hibernate-core/src/main/java/org/hibernate/engine/jdbc/SerializableBlobProxy.java,38
hibernate-core/src/main/java/org/hibernate/engine/jdbc/ResultSetWrapperProxy.java,38
hibernate-core/src/main/java/org/hibernate/engine/jdbc/NClobProxy.java,38
buildSrc/src/main/groovy/org/hibernate/build/gradle/testing/database/AbstractDatabaseProfileImpl.java,38
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/query/QueryResultsRegionImpl.java,37
hibernate-envers/src/main/java/org/hibernate/envers/internal/entities/mapper/relation/MapCollectionMapper.java,37
hibernate-envers/src/main/java/org/hibernate/envers/internal/entities/mapper/relation/ListCollectionMapper.java,37
hibernate-envers/src/main/java/org/hibernate/envers/internal/entities/mapper/relation/BasicCollectionMapper.java,37
hibernate-envers/src/main/java/org/hibernate/envers/configuration/metadata/BasicMetadataGenerator.java,37
hibernate-core/src/test/java/org/hibernate/test/multitenancy/ConfigurationValidationTest.java,37
hibernate-core/src/test/java/org/hibernate/test/connections/ThreadLocalCurrentSessionTest.java,37
hibernate-core/src/matrix/java/org/hibernate/test/naturalid/mutable/MutableNaturalIdTest.java,37
hibernate-core/src/matrix/java/org/hibernate/test/cascade/circle/MultiPathCircleCascadeTest.java,37
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/EntityIndexGraph.java,37
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/EntityElementGraph.java,37
hibernate-core/src/main/java/org/hibernate/internal/util/xml/MappingReader.java,37
hibernate-core/src/main/java/org/hibernate/event/internal/DefaultInitializeCollectionEventListener.java,37
hibernate-core/src/main/java/org/hibernate/dialect/SybaseDialect.java,37
documentation/src/main/docbook/manual/en-US/content/query_hql.xml,37
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/ejb3configuration/PersisterClassProviderTest.java,36
hibernate-entitymanager/src/main/java/org/hibernate/jpa/spi/BaseQueryImpl.java,36
hibernate-entitymanager/src/main/java/org/hibernate/jpa/internal/QueryImpl.java,36
hibernate-core/src/test/java/org/hibernate/test/hql/ASTParserLoadingTest.java,36
hibernate-core/src/main/java/org/hibernate/type/SerializableToBlobType.java,36
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/CollectionFetch.java,36
hibernate-core/src/main/java/org/hibernate/internal/PersistentClassFilterConfiguration.java,36
hibernate-core/src/main/java/org/hibernate/event/internal/DefaultSaveOrUpdateEventListener.java,36
